Npts=34, Emin=0(0.000735), Emax=1188(0.437325), step=36

k                                                                                                                                                                                                                                 E (Ry)
0.02388801274187989284019878642139476980676708431460390367445171797537359641809893642958264079763663079+0.000000000000000007403453015263465541923199798581536575657009114825611984341959524186997626469671553029508929977070955j  0.0005706371527562161158365407854242103882508677001277881584956530060471521408939226323484173949976293665+0.0000000000000000003537075599250455552763086128135957303653879294552846042980211879334572006727948924484635389978794221j
0.02825159856839877763842256436432185427909348604538347085087689953855797805182445570755749126381026439-0.00000000000000001485910494266304170855013466505444182859567588151701731991749771558150318946288446463322998882440151j   0.0007981528216699518621413777059526113417673803738441352368057104717232405449751821627075997851909946418-0.000000000000000000839586935851652780035814958592756933416558918488014113570682735870086483172927592369145314519725297j
0.08011375713855155883705943972274811051012613496422045495299033028307903133991250035676106265477733672-0.3752500621040609090426963606242669499660595224752444697515513496229547817630839640434014569884183084j                   -0.1343943950262467482984417131804654658352675335976857594831423632330799715686181770988716702893967255-0.06012538468326225087693336535070083503552208238006587525688161004814060960956975706628428931477192659j
0.1068060839448565156754380639346203109546538032488684040972323723691550522892113606493471288250040279+0.383893506726391920559122722074261685123995422790837679910697612491947462363076284918489109792479468j                     -0.135966684939050581989278313326024614004295394967757101955859627960333299414670579503055101689213069+0.0820043242106087098273821667700907415457408280259767146301144792746307531972765114129655638361652097j
0.148457031851745151520861776060215451072548019328891008117370475485229872460575920127076449603281854-0.3713666654738496277862821780157187214325432897453145972346068803816758464074666526072620636328900737j                     -0.1158737099189360627371650093405970098246844762000512126512861130734147985178854865718965032881796331-0.1102639857698553612708555867896339842362329001626036756350312845813844011975547048916014420350934262j
0.1497012271245409120142622800931016913055610678322797463780913598526175125951909346463367583006092649+0.5392845007687232960765761066635603706583141517148965766614602760676929091802345091563447867974517775j                    -0.2684173153667777336209734722939907220563229995904419564272213097337385111832010024050688045298153077+0.1614631030686466084140813121905454396900476571253721989351007972711802565880093348578597844529647192j
0.1667061049854832733100764525022106742877281741905719780753016059629629519422100649410624520633829516-0.2852827958730873651934770065050955282136818501880391813713351129621673616413454977510633240780243543j                    -0.0535953481817346623328858789769895232184748962514787128650772561618327460422450928893389894874129122-0.09511676743874219319818052907620073608108395780393790325947398423868563594065525838725806767969247201j
0.2019737391017562371048108232803995464419868766758462247496795527783275276099334189206234543987775131+0.4405104674528846313612028278620783433628323577304879478407500605237554044285007821000139934940776424j                    -0.1532560806488146337615844105687105026297697981787271778603722676332643140378939106567568648640521612+0.1779430924498432058098911486409920281813533669510716798072037537823931417623244663226004219241216476j
0.2343208075441850759892853622202798115759984526436886226266758532471944101006420018719536852044021662+0.00000000000001488185372783978446660588225377627011472090363873046821893299551678839889572976285177969325119756154j       0.05490624084815902162246873556548126810294870826051605597849199231204516469279306157547892449751372127+0.000000000000006974255966523718729334155268501588059124176646085502412087145196881103286586480954822229169237520044j
0.2542075286143249365731661682364960183306815583224985565845731619658155228903792565427490070765916617-0.3339846140390161903088527447399975939699194803832624760653462155258189185523647622915250927797491776j                    -0.04692425481058777911418985935898568843253783586483637995581578428671044318621774506328857203559360597-0.1698028066601349562526460336990150348561698769472779228385295077429131931947510637704740380761284863j
